date,q_total,q_market,q_mining,q_nonmining_market,q_pubadm,q_edu,q_health,q_dwellings
1959-09-01,nan,nan,nan,nan,nan,nan,nan,nan
1959-12-01,nan,nan,nan,nan,nan,nan,nan,nan
1960-03-01,nan,nan,nan,nan,nan,nan,nan,nan
1960-06-01,nan,nan,nan,nan,nan,nan,nan,nan
1960-09-01,nan,nan,nan,nan,nan,nan,nan,nan
1960-12-01,nan,nan,nan,nan,nan,nan,nan,nan
1961-03-01,nan,nan,nan,nan,nan,nan,nan,nan
1961-06-01,nan,nan,nan,nan,nan,nan,nan,nan
1961-09-01,nan,nan,nan,nan,nan,nan,nan,nan
1961-12-01,nan,nan,nan,nan,nan,nan,nan,nan
1962-03-01,nan,nan,nan,nan,nan,nan,nan,nan
1962-06-01,nan,nan,nan,nan,nan,nan,nan,nan
1962-09-01,nan,nan,nan,nan,nan,nan,nan,nan
1962-12-01,nan,nan,nan,nan,nan,nan,nan,nan
1963-03-01,nan,nan,nan,nan,nan,nan,nan,nan
1963-06-01,nan,nan,nan,nan,nan,nan,nan,nan
1963-09-01,nan,nan,nan,nan,nan,nan,nan,nan
1963-12-01,nan,nan,nan,nan,nan,nan,nan,nan
1964-03-01,nan,nan,nan,nan,nan,nan,nan,nan
1964-06-01,nan,nan,nan,nan,nan,nan,nan,nan
1964-09-01,nan,nan,nan,nan,nan,nan,nan,nan
1964-12-01,nan,nan,nan,nan,nan,nan,nan,nan
1965-03-01,nan,nan,nan,nan,nan,nan,nan,nan
1965-06-01,nan,nan,nan,nan,nan,nan,nan,nan
1965-09-01,nan,nan,nan,nan,nan,nan,nan,nan
1965-12-01,nan,nan,nan,nan,nan,nan,nan,nan
1966-03-01,nan,nan,nan,nan,nan,nan,nan,nan
1966-06-01,nan,nan,nan,nan,nan,nan,nan,nan
1966-09-01,nan,nan,nan,nan,nan,nan,nan,nan
1966-12-01,nan,nan,nan,nan,nan,nan,nan,nan
1967-03-01,nan,nan,nan,nan,nan,nan,nan,nan
1967-06-01,nan,nan,nan,nan,nan,nan,nan,nan
1967-09-01,nan,nan,nan,nan,nan,nan,nan,nan
1967-12-01,nan,nan,nan,nan,nan,nan,nan,nan
1968-03-01,nan,nan,nan,nan,nan,nan,nan,nan
1968-06-01,nan,nan,nan,nan,nan,nan,nan,nan
1968-09-01,nan,nan,nan,nan,nan,nan,nan,nan
1968-12-01,nan,nan,nan,nan,nan,nan,nan,nan
1969-03-01,nan,nan,nan,nan,nan,nan,nan,nan
1969-06-01,nan,nan,nan,nan,nan,nan,nan,nan
1969-09-01,nan,nan,nan,nan,nan,nan,nan,nan
1969-12-01,nan,nan,nan,nan,nan,nan,nan,nan
1970-03-01,nan,nan,nan,nan,nan,nan,nan,nan
1970-06-01,nan,nan,nan,nan,nan,nan,nan,nan
1970-09-01,nan,nan,nan,nan,nan,nan,nan,nan
1970-12-01,nan,nan,nan,nan,nan,nan,nan,nan
1971-03-01,nan,nan,nan,nan,nan,nan,nan,nan
1971-06-01,nan,nan,nan,nan,nan,nan,nan,nan
1971-09-01,nan,nan,nan,nan,nan,nan,nan,nan
1971-12-01,nan,nan,nan,nan,nan,nan,nan,nan
1972-03-01,nan,nan,nan,nan,nan,nan,nan,nan
1972-06-01,nan,nan,nan,nan,nan,nan,nan,nan
1972-09-01,nan,nan,nan,nan,nan,nan,nan,nan
1972-12-01,nan,nan,nan,nan,nan,nan,nan,nan
1973-03-01,nan,nan,nan,nan,nan,nan,nan,nan
1973-06-01,nan,nan,nan,nan,nan,nan,nan,nan
1973-09-01,nan,nan,nan,nan,nan,nan,nan,nan
1973-12-01,nan,nan,nan,nan,nan,nan,nan,nan
1974-03-01,nan,nan,nan,nan,nan,nan,nan,nan
1974-06-01,nan,nan,nan,nan,nan,nan,nan,nan
1974-09-01,142953.0,106536.0,10315.0,96221.0,9235.0,7522.0,6163.0,13497.0
1974-12-01,143630.0,106360.0,11660.0,94700.0,9371.0,7864.0,6363.0,13672.0
1975-03-01,140606.0,102685.0,11697.0,90988.0,9557.0,8069.0,6467.0,13828.0
1975-06-01,141231.0,102869.0,11420.0,91449.0,9857.0,8085.0,6422.0,13998.0
1975-09-01,143173.0,104449.0,10419.0,94030.0,10004.0,8159.0,6434.0,14127.0
1975-12-01,144829.0,105628.0,10952.0,94676.0,10059.0,8333.0,6535.0,14274.0
1976-03-01,143908.0,104377.0,11163.0,93214.0,10027.0,8508.0,6580.0,14416.0
1976-06-01,146851.0,107259.0,11398.0,95861.0,9958.0,8421.0,6636.0,14577.0
1976-09-01,148938.0,108996.0,12042.0,96954.0,9998.0,8509.0,6670.0,14765.0
1976-12-01,149732.0,109386.0,10942.0,98444.0,10025.0,8630.0,6710.0,14981.0
1977-03-01,150181.0,109372.0,11874.0,97498.0,10061.0,8801.0,6750.0,15197.0
1977-06-01,150927.0,109971.0,11925.0,98046.0,10079.0,8676.0,6797.0,15404.0
1977-09-01,150891.0,109320.0,12264.0,97056.0,10149.0,8829.0,6968.0,15625.0
1977-12-01,150502.0,108231.0,11612.0,96619.0,10182.0,9112.0,7137.0,15840.0
1978-03-01,151608.0,108530.0,11898.0,96632.0,10238.0,9449.0,7344.0,16047.0
1978-06-01,154055.0,109954.0,12033.0,97921.0,10257.0,10070.0,7525.0,16249.0
1978-09-01,156976.0,112604.0,12192.0,100412.0,10392.0,9867.0,7662.0,16451.0
1978-12-01,159185.0,114564.0,12059.0,102505.0,10445.0,9779.0,7716.0,16681.0
1979-03-01,160059.0,114668.0,12148.0,102520.0,10520.0,10225.0,7753.0,16893.0
1979-06-01,161329.0,115191.0,12447.0,102744.0,10566.0,10638.0,7826.0,17108.0
1979-09-01,162001.0,115598.0,12633.0,102965.0,10398.0,10848.0,7837.0,17320.0
1979-12-01,164330.0,117471.0,12407.0,105064.0,10270.0,11084.0,7956.0,17549.0
1980-03-01,163637.0,116469.0,11274.0,105195.0,10307.0,11224.0,7849.0,17788.0
1980-06-01,163716.0,116059.0,10892.0,105167.0,10498.0,11077.0,8055.0,18027.0
1980-09-01,166385.0,118028.0,11829.0,106199.0,10543.0,11468.0,8089.0,18257.0
1980-12-01,169230.0,120289.0,11674.0,108615.0,10805.0,11586.0,8045.0,18505.0
1981-03-01,169726.0,120299.0,12425.0,107874.0,10930.0,11491.0,8239.0,18767.0
1981-06-01,170416.0,120785.0,11733.0,109052.0,10929.0,11542.0,8154.0,19006.0
1981-09-01,173237.0,123075.0,10975.0,112100.0,11269.0,11514.0,8107.0,19272.0
1981-12-01,175108.0,124961.0,11675.0,113286.0,10951.0,11713.0,8146.0,19337.0
1982-03-01,176662.0,126173.0,11167.0,115006.0,11050.0,11543.0,8440.0,19456.0
1982-06-01,177040.0,126661.0,12362.0,114299.0,10820.0,11624.0,8369.0,19566.0
