DATAFLOW,MEASURE,DATA_ITEM,EXP_IMP,TSEST,FREQ,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,UNIT_MULT,OBS_STATUS,OBS_COMMENT
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,2001-Q1,14000,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,2001-Q2,15167,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,2001-Q3,15407,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,2001-Q4,15419,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,2002-Q1,13557,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,2002-Q2,15693,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,2002-Q3,15585,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,2002-Q4,16016,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,2003-Q1,15792,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,2003-Q2,16600,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,2003-Q3,15935,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,2003-Q4,17724,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,2004-Q1,15553,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,2004-Q2,16806,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,2004-Q3,17087,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,2004-Q4,18649,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,2005-Q1,17536,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,2005-Q2,19110,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,2005-Q3,17781,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,2005-Q4,21785,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,2006-Q1,17255,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,2006-Q2,19802,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,2006-Q3,18058,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,2006-Q4,19813,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,2007-Q1,17163,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,2007-Q2,18536,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,2007-Q3,19202,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,2007-Q4,20332,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,2008-Q1,19930,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,2008-Q2,20799,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,2008-Q3,20838,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,2008-Q4,18981,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,2009-Q1,18357,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,2009-Q2,21445,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,2009-Q3,22554,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,2009-Q4,23542,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,2010-Q1,22289,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,2010-Q2,23675,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,2010-Q3,22800,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,2010-Q4,25372,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,2011-Q1,21809,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,2011-Q2,24492,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,2011-Q3,26295,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,2011-Q4,27991,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,2012-Q1,24668,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,2012-Q2,28069,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,2012-Q3,28483,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,2012-Q4,30595,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,2013-Q1,27497,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,2013-Q2,31405,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,2013-Q3,32250,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,2013-Q4,33620,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,2014-Q1,31835,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,2014-Q2,36212,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,2014-Q3,38111,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,2014-Q4,39882,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,2015-Q1,37189,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,2015-Q2,39845,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,2015-Q3,41918,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,2015-Q4,42094,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,2016-Q1,39608,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,2016-Q2,42326,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,2016-Q3,41573,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,2016-Q4,45285,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,2017-Q1,38973,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,2017-Q2,42147,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,2017-Q3,44586,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,2017-Q4,45906,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,2018-Q1,42773,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,2018-Q2,47538,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,2018-Q3,45064,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,2018-Q4,46029,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,2019-Q1,40759,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,2019-Q2,44725,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,2019-Q3,44095,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,2019-Q4,44875,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,2020-Q1,40600,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,2020-Q2,47669,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,2020-Q3,43931,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,2020-Q4,45863,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1400,EXP,10,Q,2021-Q1,40990,AUD,6,,
