date,imports_sa,exports_sa
2011-09-01,113186,112603
2011-12-01,113116,115137
2012-03-01,116731,113284
2012-06-01,116097,117276
2012-09-01,115955,118504
2012-12-01,117509,119669
2013-03-01,112402,119316
2013-06-01,116611,125127
2013-09-01,114173,124855
2013-12-01,112625,126771
2014-03-01,109742,129592
2014-06-01,112810,130716
2014-09-01,114058,133742
2014-12-01,112837,136599
2015-03-01,114380,140628
2015-06-01,115401,136241
2015-09-01,115225,142393
2015-12-01,114862,144256
2016-03-01,112637,147529
2016-06-01,114431,148121
2016-09-01,116860,150289
2016-12-01,118688,156116
2017-03-01,123634,151871
2017-06-01,123359,156046
2017-09-01,126333,158763
2017-12-01,127274,155697
2018-03-01,132042,161615
2018-06-01,132631,163596
2018-09-01,130107,164689
2018-12-01,130583,164629
2019-03-01,129963,165671
2019-06-01,130269,169761
2019-09-01,129883,170131
2019-12-01,129380,169363
2020-03-01,122120,163357
2020-06-01,105326,150543
2020-09-01,111791,144370
2020-12-01,117857,151974
2021-03-01,119861,153414
2021-06-01,122235,148051
2021-09-01,118084,148211
2021-12-01,120952,146803
2022-03-01,132023,147374
2022-06-01,135296,153421
2022-09-01,141316,153974
2022-12-01,138175,157283
2023-03-01,142557,159734
2023-06-01,145828,164829
2023-09-01,149677,166741
2023-12-01,145615,162643
2024-03-01,153936,165540
2024-06-01,154416,164938
2024-09-01,154746,165519
2024-12-01,154664,165082
2025-03-01,155407,164939
2025-06-01,158867,168974
2025-09-01,162020,171313
2025-12-01,164993,173636
