DATAFLOW,MEASURE,ASGS_2016,LABOURACCT_IND,TSEST,FREQ,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,UNIT_MULT,OBS_STATUS,OBS_COMMENT,DECIMALS
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2005-Q3,48445.14159747712,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2005-Q4,53282.80011401901,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2006-Q1,56427.14166269609,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2006-Q2,55351.58339603793,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2006-Q3,59390.59883944655,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2006-Q4,58192.90270548857,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2007-Q1,56532.11243058787,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2007-Q2,60021.76380317286,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2007-Q3,60016.07225911963,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2007-Q4,61590.11873598015,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2008-Q1,62966.85914553711,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2008-Q2,64448.91877304265,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2008-Q3,71412.6948084013,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2008-Q4,72019.76333381227,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2009-Q1,74246.39604401433,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2009-Q2,73327.58675443982,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2009-Q3,66341.61436015481,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2009-Q4,72324.7164502538,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2010-Q1,76551.72713884003,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2010-Q2,78414.11810791361,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2010-Q3,74842.02585028709,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2010-Q4,79118.66076574767,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2011-Q1,80918.08066063304,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2011-Q2,83823.03647627622,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2011-Q3,89350.99676034489,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2011-Q4,91611.81363888666,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2012-Q1,99185.47461513763,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2012-Q2,101731.038461819,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2012-Q3,105940.9248848616,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2012-Q4,108068.8356646315,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2013-Q1,100959.0645955746,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2013-Q2,99975.67297714353,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2013-Q3,102122.1518723678,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2013-Q4,101346.896092938,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2014-Q1,103099.1012257441,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2014-Q2,103431.1454176601,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2014-Q3,99797.32023515053,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2014-Q4,95619.61686808219,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2015-Q1,92608.76538123033,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2015-Q2,93909.45002458859,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2015-Q3,89814.2903587785,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2015-Q4,94314.68414697904,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2016-Q1,93352.01502799617,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2016-Q2,87670.1635687588,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2016-Q3,86170.19741425988,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2016-Q4,85068.22982341128,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2017-Q1,84322.38409202298,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2017-Q2,88121.48418926564,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2017-Q3,91417.19823635205,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2017-Q4,92443.583826203,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2018-Q1,96867.63911335033,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2018-Q2,95826.97625804339,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2018-Q3,93048.7797919266,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2018-Q4,96666.53939269805,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2019-Q1,95054.34872275079,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2019-Q2,99540.3842547356,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2019-Q3,102337.1124669514,HR,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M28,AUS,B,20,Q,2019-Q4,97576.69754920503,HR,3,,,1
