date,au_ygap,au_pi,au_irate,us_ygap,us_pi,au_irate_bar,au_pi_bar,us_pi_bar,i_bar,pi_bar_au,pi_bar_us
1993-01-01,0.412824579061599,NaN,1.42333333333333,-1.12137700123114,NaN,1.42498339192273,0.625,0.5,1.04905048673115,0.625,0.5
1993-04-01,-0.0166799322679267,0.329499993405857,1.30333333333333,-1.23065323693865,0.593882734254869,1.44446518749191,0.625,0.5,1.04905048673115,0.625,0.5
1993-07-01,-0.895262653597584,0.492196764293773,1.22416666666667,-1.44919472102689,0.591929700045846,1.46394595177446,0.625,0.5,1.04905048673115,0.625,0.5
1993-10-01,-0.0821538593058335,0.163546299814143,1.20083333333333,-0.800228526551372,0.543660583980721,1.48333644607493,0.625,0.5,1.04905048673115,0.625,0.5
1994-01-01,0.5718983420957,0.488987629750159,1.2075,-0.543651249294186,0.477710368660755,1.50239756964465,0.625,0.5,1.04905048673115,0.625,0.5
1994-04-01,0.756729047980187,0.648303514253623,1.24083333333333,0.0939519917523057,0.481559093325057,1.5207136572895,0.625,0.5,1.04905048673115,0.625,0.5
1994-07-01,0.516648935105124,0.644127597868582,1.41166666666667,-0.0379532775097502,0.572088303900298,1.53768473283433,0.625,0.5,1.04905048673115,0.625,0.5
1994-10-01,0.613762784477423,0.799364162608374,1.79666666666667,0.380470908300978,0.540090822074824,1.5525358949015,0.625,0.5,1.04905048673115,0.625,0.5
1995-01-01,-0.466627537570474,1.57981050519709,2.04833333333333,0.0107782605768492,0.541704142569444,1.56441348082206,0.625,0.5,1.04905048673115,0.625,0.5
1995-04-01,-0.994636231768631,1.40080341108613,1.92833333333333,-0.420335164064944,0.478897201937567,1.57261640965935,0.625,0.5,1.04905048673115,0.625,0.5
1995-07-01,0.283564175000706,1.22888331506417,1.88583333333333,-0.303226455340955,0.491518943402802,1.57674605038459,0.625,0.5,1.04905048673115,0.625,0.5
1995-10-01,-0.742311757360525,0.760475754766521,1.86333333333333,-0.369510689351138,0.480216202015349,1.57662609504626,0.625,0.5,1.04905048673115,0.625,0.5
1996-01-01,-0.222753241669515,0.302565339170702,1.87166666666667,-0.376561142669374,0.479397233880885,1.57227341524469,0.625,0.5,1.04905048673115,0.625,0.5
1996-04-01,-0.602002850809313,0.752448436995845,1.89083333333333,0.486722878312484,0.413920679356838,1.56388407460414,0.625,0.5,1.04905048673115,0.625,0.5
1996-07-01,-0.828540709387049,0.29939476129428,1.7825,0.543091359426384,0.327270084221443,1.55184125753103,0.625,0.5,1.04905048673115,0.625,0.5
1996-10-01,-0.902596292124258,0.149377981501253,1.60666666666667,0.697535355176804,0.531908374921475,1.53673249171844,0.625,0.5,1.04905048673115,0.625,0.5
1997-01-01,-1.22953254895108,0.149139129524833,1.48166666666667,0.425121457506172,0.595758809462232,1.51928946657354,0.625,0.5,1.04905048673115,0.625,0.5
1997-04-01,0.683158601086475,-0.298517111026086,1.43833333333333,1.13326899225044,0.198282103071268,1.50028758036282,0.625,0.5,1.04905048673115,0.625,0.5
1997-07-01,-0.192987833852243,-0.449428953834907,1.23833333333333,1.40005558824488,0.435705391141283,1.48047871710282,0.625,0.5,1.04905048673115,0.625,0.5
1997-10-01,0.219395674026579,0.299843619674789,1.2375,1.25495090239536,0.331994642350608,1.4605760394057,0.625,0.5,1.04905048673115,0.625,0.5
1998-01-01,-0.187268154657438,0.298963315661371,1.24333333333333,1.23971135318754,0.141946700632722,1.44114136901877,0.625,0.5,1.04905048673115,0.625,0.5
1998-04-01,-0.15292472512769,0.595242570951982,1.26666666666667,1.12858643001417,0.236130997784745,1.42259710516468,0.625,0.5,1.04905048673115,0.625,0.5
1998-07-01,0.695636116934573,0.148254682581506,1.2825,1.3397700520505,0.422212389227905,1.40524201704382,0.625,0.5,1.04905048673115,0.625,0.5
1998-10-01,1.24892859830297,0.443449825108466,1.20916666666667,1.88550237843828,0.281434077221565,1.38927741733249,0.625,0.5,1.04905048673115,0.625,0.5
1999-01-01,1.01992547404652,0,1.1975,1.758682577759,0.324512276845734,1.37482790494633,0.625,0.5,1.04905048673115,0.625,0.5
1999-04-01,0.441615411316754,0.441507837603794,1.2125,1.52980243244443,0.377036547504872,1.36190550958183,0.625,0.5,1.04905048673115,0.625,0.5
1999-07-01,0.600711623558681,0.877194809808213,1.235,1.79040375941124,0.353150934390456,1.3504114309949,0.625,0.5,1.04905048673115,0.625,0.5
1999-10-01,1.36255776416867,0.580555853682352,1.36666666666667,2.35973388833965,0.553242070803961,1.34015349049792,0.625,0.5,1.04905048673115,0.625,0.5
2000-01-01,0.842799344457745,0.864554965747732,1.44583333333333,1.6679564268177,0.662650511303564,1.33086737725894,0.625,0.5,1.04905048673115,0.625,0.5
2000-04-01,0.913841101186286,0.714798820386253,1.54833333333333,2.45163942475219,0.621064164764462,1.32230535118109,0.625,0.5,1.04905048673115,0.625,0.5
2000-07-01,0.309265430490413,3.77403904722948,1.605,1.57762959973198,0.582963758443622,1.31429152589007,0.625,0.5,1.04905048673115,0.625,0.5
2000-10-01,-0.96040223277214,0.273966672045756,1.57833333333333,1.24690998339911,0.537323296320746,1.30679128250038,0.625,0.5,1.04905048673115,0.625,0.5
2001-01-01,-0.889676126330663,1.08845118259584,1.38666666666667,0.04305429940068,0.659153372929744,1.2999516949229,0.625,0.5,1.04905048673115,0.625,0.5
2001-04-01,-0.879648022544366,0.808626242336619,1.22666666666667,-0.150963828027706,0.599645252045544,1.29408955085022,0.625,0.5,1.04905048673115,0.625,0.5
2001-07-01,-0.600892169000566,0.268090716115044,1.21166666666667,-1.30637268898504,0.392410329918391,1.28957583483232,0.625,0.5,1.04905048673115,0.625,0.5
2001-10-01,-0.270353033891091,0.93272624024463,1.07416666666667,-1.73047968340132,0.313358140578401,1.28673939211653,0.625,0.5,1.04905048673115,0.625,0.5
2002-01-01,-0.346649090064233,0.92409264265223,1.08583333333333,-1.54783012174438,0.313712136284394,1.2858603747201,0.625,0.5,1.04905048673115,0.625,0.5
2002-04-01,0.510528527157383,0.654894801363692,1.20833333333333,-1.5524042287355,0.348599304560882,1.28708607670686,0.625,0.5,1.04905048673115,0.625,0.5
